data,position
"[0,0,0,0,3,1,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,4,58,54,60,17,2,0,0,0,1,43,59,10,23,6,0,0,0,0,0,1,2,37,17,1,0,0,0,0,2,0,3,22,22,2,0,0,0,0,0,0,4,26,20,3,0,0,0,0,0,0,1,21,46,57,1,0,0,0,0,0,2,34,69,41,1,0,0,0,0,1,5,28,20,2,0,0,0,0,5,20,22,35,9,1,0,0,0,0,0,0,4,30,5,0,0,0,0,0,0,0,2,29,39,7,0,0,0,0,0,0,0,1,6,37,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,0]",3
"[0,0,0,0,3,2,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,4,58,54,60,17,2,0,0,0,1,44,59,10,22,5,0,0,0,0,0,1,2,37,17,2,0,0,0,0,2,0,3,22,22,2,0,0,0,0,0,0,4,25,20,3,0,0,0,0,0,0,1,21,47,58,1,0,0,0,0,0,2,34,68,41,1,0,0,0,0,0,5,27,20,2,0,0,0,0,4,19,22,35,9,1,0,0,0,0,0,0,4,30,5,0,0,0,0,0,0,0,2,29,39,7,0,0,0,0,0,1,0,1,6,37,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,0]",3
"[0,0,0,0,3,1,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,4,58,55,60,17,2,0,0,0,1,45,58,9,23,6,0,0,0,0,0,1,2,36,17,1,0,0,0,0,2,0,2,22,22,1,0,0,0,0,0,0,3,26,20,3,0,0,0,0,0,0,2,22,46,58,1,0,0,0,0,0,2,34,68,41,1,0,0,0,0,0,5,27,20,2,0,0,0,0,2,19,21,35,10,1,0,0,0,0,0,0,4,30,5,1,0,0,0,0,0,0,2,29,38,7,0,0,0,0,0,0,0,1,6,37,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,0]",3
"[0,0,0,0,4,1,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,4,59,54,60,17,2,0,0,0,1,44,58,10,23,6,0,0,0,0,0,1,2,35,17,1,0,0,0,0,2,0,2,21,22,2,0,0,0,0,0,0,3,26,20,3,0,0,0,0,0,0,2,22,46,59,1,0,0,0,0,0,2,34,69,41,1,0,0,0,0,0,5,27,20,2,0,0,0,0,2,20,21,35,10,1,0,0,0,0,0,0,4,30,5,0,0,0,0,0,0,0,2,29,39,7,0,0,0,0,0,0,0,1,7,37,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,0]",3
"[0,0,0,0,3,2,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,4,58,54,60,18,2,0,0,0,1,45,58,10,23,6,0,0,0,0,0,1,2,36,18,1,0,0,0,0,1,0,1,22,22,2,0,0,0,0,0,0,3,25,20,3,0,0,0,0,0,0,1,23,46,58,1,0,0,0,0,0,2,34,68,42,0,0,0,0,0,0,5,27,20,2,0,0,0,0,2,20,22,35,9,1,0,0,0,0,0,0,4,29,5,0,0,0,0,0,0,0,2,29,38,7,0,0,0,0,0,0,0,1,6,37,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,1,2,0]",3
"[0,0,0,0,4,2,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,4,59,55,60,18,2,0,0,0,1,44,58,10,23,6,0,0,0,0,0,1,2,36,18,1,0,0,0,0,1,0,2,22,22,2,0,0,0,0,0,0,3,25,20,3,0,0,0,0,0,0,1,23,46,59,1,0,0,0,0,0,2,34,68,42,1,0,0,0,0,1,5,28,20,2,0,0,0,0,3,21,22,36,10,1,0,0,0,0,0,0,4,30,5,0,0,0,0,0,0,0,2,30,38,7,0,0,0,0,0,0,0,1,6,37,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,1,1,2,0]",3
"[0,0,0,0,4,2,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,4,58,54,60,17,2,1,0,0,1,44,58,10,24,7,0,0,0,0,0,1,2,35,19,1,0,0,0,0,1,0,2,22,22,2,0,0,0,0,0,0,3,26,20,3,0,0,0,0,0,0,2,22,46,59,1,0,0,0,0,0,2,34,68,42,1,0,0,0,0,0,5,27,20,2,0,0,0,0,4,22,22,35,10,1,0,0,0,0,0,0,4,30,5,0,0,0,0,0,0,0,2,30,38,7,0,0,0,0,0,0,0,1,6,36,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,1,1,2,0]",3
"[0,0,0,0,4,2,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,4,58,55,60,17,2,1,0,0,1,44,57,10,24,7,0,0,0,0,0,1,2,36,19,1,0,0,0,0,1,0,3,22,22,1,0,0,0,0,0,0,3,25,20,3,0,0,0,0,0,0,2,23,46,59,1,0,0,0,0,0,2,34,68,41,1,0,0,0,0,0,5,27,20,2,0,0,0,0,5,22,22,35,10,1,0,0,0,0,0,0,4,30,5,0,0,0,0,0,0,0,2,30,38,7,0,0,0,0,0,0,0,1,6,36,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,1,2,0]",3
"[0,0,0,0,3,2,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,4,59,54,60,17,2,1,0,0,1,44,58,10,24,7,0,0,0,0,0,1,2,35,19,1,0,0,0,0,1,0,2,22,22,1,0,0,0,0,0,0,3,25,20,3,0,0,0,0,0,0,1,23,46,59,1,0,0,0,0,0,2,34,69,42,1,0,0,0,0,0,5,27,20,2,0,0,0,0,7,22,22,35,10,1,0,0,0,0,0,0,4,30,5,0,0,0,0,0,0,0,2,30,38,7,0,0,0,0,0,0,0,1,6,35,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,1,1,1,0]",3
"[0,0,0,0,3,2,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,4,59,54,60,18,2,1,0,0,1,44,58,11,24,7,0,0,0,0,0,2,2,36,18,2,0,0,0,0,1,0,3,22,22,2,0,0,0,0,0,0,3,25,20,3,0,0,0,0,0,0,1,24,44,59,1,0,0,0,0,0,2,34,69,43,1,0,0,0,0,0,5,27,20,2,0,0,0,0,6,20,22,36,9,1,0,0,0,0,0,0,4,30,5,0,0,0,0,0,0,0,2,29,38,7,0,0,0,0,0,0,0,1,6,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,0]",3
"[0,0,0,0,4,2,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,4,59,54,60,19,2,0,0,0,0,45,58,10,24,7,0,0,0,0,0,1,2,32,17,1,0,0,0,0,1,0,2,22,23,2,0,0,0,0,0,0,3,25,20,3,0,0,0,0,0,0,2,25,44,64,1,0,0,0,0,0,2,35,72,45,1,0,0,0,0,0,5,27,21,2,0,0,0,0,1,17,22,36,10,1,0,0,0,0,0,0,6,31,5,0,0,0,0,0,0,0,2,31,37,6,0,0,0,0,0,0,0,1,3,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,0]",3
"[0,0,0,0,3,2,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,3,60,54,60,19,2,0,0,0,1,45,59,11,24,7,0,0,0,0,0,1,1,29,16,1,0,0,0,0,1,0,1,21,22,2,0,0,0,0,0,0,3,24,20,3,0,0,0,0,0,0,2,25,44,66,1,0,0,0,0,0,3,35,73,44,1,0,0,0,0,0,4,27,22,2,0,0,0,0,0,3,21,37,13,1,0,0,0,0,0,0,3,34,5,0,0,0,0,0,0,0,2,32,35,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0]",3
"[0,0,0,0,3,2,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,3,59,54,60,18,2,0,0,0,1,45,60,10,24,7,0,0,0,0,0,1,1,28,16,1,0,0,0,0,1,0,1,20,23,2,0,0,0,0,0,0,3,25,19,3,0,0,0,0,0,0,2,24,43,67,1,0,0,0,0,0,2,35,72,45,1,0,0,0,0,0,4,28,22,2,0,0,0,0,0,2,20,37,14,1,0,0,0,0,0,0,3,36,6,0,0,0,0,0,0,0,2,32,30,3,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,0]",3
