data,position
"[1,0,0,1,2,20,6,3,0,0,0,0,0,1,42,63,19,0,0,0,2,82,112,24,7,53,61,1,0,0,3,0,0,1,9,54,48,1,0,0,0,0,0,5,45,32,54,0,0,0,0,0,0,3,55,53,55,1,0,0,0,0,0,2,40,88,103,1,0,0,0,0,0,5,68,87,86,1,0,0,0,0,1,65,90,42,12,1,0,0,0,0,1,100,54,7,2,1,0,0,0,0,0,55,63,33,5,2,0,0,0,0,0,2,6,13,21,89,2,1,0,0,0,0,0,0,0,15,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,0,1,2,21,6,3,0,0,0,0,0,1,42,63,19,0,0,0,2,140,72,19,8,52,51,0,0,0,2,1,1,1,10,55,37,0,0,0,0,0,1,5,45,33,54,0,0,0,0,0,1,3,57,53,57,0,0,0,0,0,0,3,42,86,107,1,0,0,0,0,0,6,67,85,90,1,0,0,0,0,1,64,89,42,12,1,0,0,0,0,1,101,52,7,2,1,0,0,0,0,0,55,62,33,6,2,0,0,0,0,0,2,6,13,21,89,3,1,0,0,0,0,0,0,0,15,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0]",3
"[1,0,0,1,2,21,7,3,0,0,0,0,0,1,41,63,20,0,0,0,1,119,100,22,7,50,40,1,0,0,1,0,0,1,10,55,24,0,0,0,0,0,0,5,46,34,51,1,0,0,0,0,0,3,56,54,60,1,0,0,0,0,0,2,45,87,114,1,0,0,0,0,0,6,67,87,96,1,0,0,0,0,1,64,89,42,13,1,0,0,0,0,0,102,52,5,2,1,0,0,0,0,0,57,63,33,6,2,0,0,0,0,0,2,5,13,22,87,2,1,0,0,0,0,0,0,0,15,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0]",3
"[1,0,0,1,2,22,7,3,0,0,0,0,0,1,40,63,21,0,0,0,2,141,94,23,8,49,33,0,0,0,2,1,1,1,12,55,13,0,0,0,0,0,0,6,46,34,46,1,0,0,0,0,0,3,55,54,62,1,0,0,0,0,0,2,47,87,114,2,0,0,0,0,1,7,66,88,99,3,0,0,0,0,1,64,89,42,10,1,0,0,0,0,0,102,52,4,2,2,0,0,0,0,0,56,62,33,6,2,0,0,0,0,0,2,6,13,25,80,3,1,0,0,0,0,0,0,0,15,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0]",3
"[1,0,0,0,3,22,7,2,0,0,0,0,0,1,39,63,21,0,0,0,2,145,97,26,8,48,33,0,0,0,2,0,1,1,12,55,14,0,0,0,0,0,0,5,46,34,46,1,0,0,0,0,0,3,55,53,61,1,0,0,0,0,0,2,49,87,112,2,0,0,0,0,0,7,65,88,99,3,0,0,0,0,1,64,88,42,10,1,0,0,0,0,1,102,52,4,2,2,0,0,0,0,0,57,61,33,6,1,0,0,0,0,0,3,5,14,25,73,2,1,0,0,0,0,0,0,1,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0]",3
"[1,0,0,1,2,22,7,3,0,0,0,0,0,1,40,62,21,0,0,0,2,143,111,27,8,48,35,1,0,0,2,0,1,1,12,55,17,0,0,0,0,0,0,6,47,34,47,1,0,0,0,0,1,3,56,53,60,1,0,0,0,0,0,2,49,87,112,2,0,0,0,0,1,7,66,88,98,3,0,0,0,0,1,64,88,42,10,1,0,0,0,0,0,102,52,4,2,2,0,0,0,0,0,57,61,33,6,1,0,0,0,0,0,2,5,13,25,71,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0]",3
"[1,0,0,1,2,22,7,3,0,0,0,0,0,1,40,62,21,0,0,0,2,138,126,28,8,48,46,1,0,0,2,1,1,1,12,55,21,0,0,0,0,0,0,6,47,34,51,1,0,0,0,0,0,4,55,53,59,1,0,0,0,0,0,2,47,88,108,2,0,0,0,0,0,7,66,88,95,3,0,0,0,0,0,64,88,43,10,2,0,0,0,0,0,102,52,4,2,2,0,0,0,0,0,56,61,33,6,1,0,0,0,0,0,2,5,14,24,81,2,1,0,0,0,0,0,0,0,15,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0]",3
"[1,0,0,1,2,21,7,3,0,0,0,0,0,1,41,63,21,0,0,0,2,133,136,29,8,48,51,1,0,0,2,0,1,1,12,55,27,0,0,0,0,0,0,5,47,34,53,0,0,0,0,0,0,3,55,53,57,1,0,0,0,0,0,3,45,88,106,1,0,0,0,0,0,7,67,88,92,1,0,0,0,0,0,64,88,42,10,1,0,0,0,0,0,101,53,4,2,1,0,0,0,0,0,57,61,33,6,2,0,0,0,0,0,2,6,14,23,83,3,1,0,0,0,0,0,0,0,15,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0]",3
"[1,0,0,1,2,21,7,4,0,0,0,0,0,1,41,63,21,0,0,0,2,125,139,28,8,48,56,1,0,0,2,1,0,1,12,55,30,0,0,0,0,0,0,5,47,33,52,1,0,0,0,0,0,3,53,53,57,1,0,0,0,0,0,3,44,88,104,1,0,0,0,0,0,7,67,88,91,1,0,0,0,0,0,64,88,42,12,1,0,0,0,0,0,101,52,6,2,1,0,0,0,0,0,56,62,33,6,2,0,0,0,0,0,2,5,13,22,86,3,1,0,0,0,0,0,0,0,15,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0]",3
"[1,0,0,1,2,21,7,4,0,0,0,0,0,1,41,64,22,0,0,0,2,128,138,29,8,48,57,1,0,0,2,0,1,1,11,55,32,0,0,0,0,0,0,5,47,33,52,0,0,0,0,0,0,3,54,53,56,0,0,0,0,0,0,3,44,86,104,1,0,0,0,0,0,6,67,87,91,1,0,0,0,0,1,64,88,42,12,1,0,0,0,0,0,101,52,7,2,1,0,0,0,0,0,57,62,33,6,2,0,0,0,0,0,2,5,13,22,86,2,1,0,0,0,0,0,0,0,15,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0]",3
"[1,0,0,1,3,21,7,4,0,0,0,0,0,2,41,64,22,0,0,0,2,128,140,29,8,48,58,1,0,0,2,1,0,1,11,55,35,0,0,0,0,0,0,5,47,33,52,0,0,0,0,0,0,3,54,54,56,0,0,0,0,0,0,3,45,86,104,1,0,0,0,0,0,6,68,87,90,1,0,0,0,0,0,64,88,43,10,1,0,0,0,0,0,101,52,7,2,1,0,0,0,0,0,57,62,33,6,2,0,0,0,0,0,2,5,13,22,85,2,1,0,0,0,0,0,0,0,15,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0]",3
"[1,0,0,0,2,21,6,4,0,0,0,0,0,2,41,65,21,0,0,0,1,104,175,37,9,49,57,1,0,0,0,1,1,1,11,55,36,0,0,0,0,0,0,4,47,33,50,0,0,0,0,0,0,3,53,54,57,1,0,0,0,0,0,2,45,85,106,1,0,0,0,0,0,6,68,86,91,1,0,0,0,0,1,64,89,42,8,1,0,0,0,0,0,101,52,6,2,1,0,0,0,0,0,56,62,33,5,1,0,0,0,0,0,2,5,14,21,80,2,1,0,0,0,0,0,0,0,15,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0]",3
